SampleID,Strain,Run,collectionPathUri,File,File1,File2,File3
25,uvrAdinB,9,pacbio_data/00025,m160924_052033_42200_c101090252550000001823241703091715_s1_p0.1.bax.h5,m160924_052033_42200_c101090252550000001823241703091715_s1_p0.2.bax.h5,m160924_052033_42200_c101090252550000001823241703091715_s1_p0.3.bax.h5,m160924_052033_42200_c101090252550000001823241703091715_s1_p0.bas.h5
26,uvrAdinBmutS,1,pacbio_data/00026,m161108_204056_42200_c101103792550000001823266805011790_s1_p0.1.bax.h5,m161108_204056_42200_c101103792550000001823266805011790_s1_p0.2.bax.h5,m161108_204056_42200_c101103792550000001823266805011790_s1_p0.3.bax.h5,m161108_204056_42200_c101103792550000001823266805011790_s1_p0.bas.h5
27,uvrAdinBmutS,2,pacbio_data/00027,m161109_025933_42200_c101103792550000001823266805011791_s1_p0.1.bax.h5,m161109_025933_42200_c101103792550000001823266805011791_s1_p0.2.bax.h5,m161109_025933_42200_c101103792550000001823266805011791_s1_p0.3.bax.h5,m161109_025933_42200_c101103792550000001823266805011791_s1_p0.bas.h5
28,uvrAdinBmutS,3,pacbio_data/00028,m161109_091830_42200_c101103792550000001823266805011792_s1_p0.1.bax.h5,m161109_091830_42200_c101103792550000001823266805011792_s1_p0.2.bax.h5,m161109_091830_42200_c101103792550000001823266805011792_s1_p0.3.bax.h5,m161109_091830_42200_c101103792550000001823266805011792_s1_p0.bas.h5
29,uvrAdinBmutS,4,pacbio_data/00029,m161109_153801_42200_c101103792550000001823266805011793_s1_p0.1.bax.h5,m161109_153801_42200_c101103792550000001823266805011793_s1_p0.2.bax.h5,m161109_153801_42200_c101103792550000001823266805011793_s1_p0.3.bax.h5,m161109_153801_42200_c101103792550000001823266805011793_s1_p0.bas.h5
30,uvrAdinBmutS,5,pacbio_data/00030,m161109_215943_42200_c101103792550000001823266805011794_s1_p0.1.bax.h5,m161109_215943_42200_c101103792550000001823266805011794_s1_p0.2.bax.h5,m161109_215943_42200_c101103792550000001823266805011794_s1_p0.3.bax.h5,m161109_215943_42200_c101103792550000001823266805011794_s1_p0.bas.h5
31,uvrAdinBmutS,6,pacbio_data/00031,m161110_042018_42200_c101103792550000001823266805011795_s1_p0.1.bax.h5,m161110_042018_42200_c101103792550000001823266805011795_s1_p0.2.bax.h5,m161110_042018_42200_c101103792550000001823266805011795_s1_p0.3.bax.h5,m161110_042018_42200_c101103792550000001823266805011795_s1_p0.bas.h5
32,uvrAdinBmutS,7,pacbio_data/00032,m161110_104308_42200_c101103792550000001823266805011796_s1_p0.1.bax.h5,m161110_104308_42200_c101103792550000001823266805011796_s1_p0.2.bax.h5,m161110_104308_42200_c101103792550000001823266805011796_s1_p0.3.bax.h5,m161110_104308_42200_c101103792550000001823266805011796_s1_p0.bas.h5
33,uvrAdinBmutS,8,pacbio_data/00033,m161123_201207_42200_c101056292550000001823264301061716_s1_p0.1.bax.h5,m161123_201207_42200_c101056292550000001823264301061716_s1_p0.2.bax.h5,m161123_201207_42200_c101056292550000001823264301061716_s1_p0.3.bax.h5,m161123_201207_42200_c101056292550000001823264301061716_s1_p0.bas.h5
34,uvrAdinBmutS,9,pacbio_data/00034,m161124_023156_42200_c101056292550000001823264301061717_s1_p0.1.bax.h5,m161124_023156_42200_c101056292550000001823264301061717_s1_p0.2.bax.h5,m161124_023156_42200_c101056292550000001823264301061717_s1_p0.3.bax.h5,m161124_023156_42200_c101056292550000001823264301061717_s1_p0.bas.h5
35,uvrAdinBmutS,10,pacbio_data/00035,m161124_085220_42200_c101107362550000001823266805011706_s1_p0.1.bax.h5,m161124_085220_42200_c101107362550000001823266805011706_s1_p0.2.bax.h5,m161124_085220_42200_c101107362550000001823266805011706_s1_p0.3.bax.h5,m161124_085220_42200_c101107362550000001823266805011706_s1_p0.bas.h5
36,uvrAdinBmutS,11,pacbio_data/00036,m161124_151422_42200_c101107362550000001823266805011707_s1_p0.1.bax.h5,m161124_151422_42200_c101107362550000001823266805011707_s1_p0.2.bax.h5,m161124_151422_42200_c101107362550000001823266805011707_s1_p0.3.bax.h5,m161124_151422_42200_c101107362550000001823266805011707_s1_p0.bas.h5
37,uvrAmutS,1,pacbio_data/00037,m161217_020055_42200_c101056612550000001823264301061770_s1_p0.1.bax.h5,m161217_020055_42200_c101056612550000001823264301061770_s1_p0.2.bax.h5,m161217_020055_42200_c101056612550000001823264301061770_s1_p0.3.bax.h5,m161217_020055_42200_c101056612550000001823264301061770_s1_p0.bas.h5
38,uvrAmutS,2,pacbio_data/00038,m161217_082922_42200_c101056612550000001823264301061771_s1_p0.1.bax.h5,m161217_082922_42200_c101056612550000001823264301061771_s1_p0.2.bax.h5,m161217_082922_42200_c101056612550000001823264301061771_s1_p0.3.bax.h5,m161217_082922_42200_c101056612550000001823264301061771_s1_p0.bas.h5
39,uvrAmutS,3,pacbio_data/00039,m161217_145824_42200_c101056612550000001823264301061772_s1_p0.1.bax.h5,m161217_145824_42200_c101056612550000001823264301061772_s1_p0.2.bax.h5,m161217_145824_42200_c101056612550000001823264301061772_s1_p0.3.bax.h5,m161217_145824_42200_c101056612550000001823264301061772_s1_p0.bas.h5
40,uvrAmutS,4,pacbio_data/00040,m161217_212632_42200_c101056612550000001823264301061773_s1_p0.1.bax.h5,m161217_212632_42200_c101056612550000001823264301061773_s1_p0.2.bax.h5,m161217_212632_42200_c101056612550000001823264301061773_s1_p0.3.bax.h5,m161217_212632_42200_c101056612550000001823264301061773_s1_p0.bas.h5
41,uvrAmutS,5,pacbio_data/00041,m161218_035357_42200_c101056612550000001823264301061774_s1_p0.1.bax.h5,m161218_035357_42200_c101056612550000001823264301061774_s1_p0.2.bax.h5,m161218_035357_42200_c101056612550000001823264301061774_s1_p0.3.bax.h5,m161218_035357_42200_c101056612550000001823264301061774_s1_p0.bas.h5
42,uvrAmutS,6,pacbio_data/00042,m161218_102239_42200_c101056612550000001823264301061775_s1_p0.1.bax.h5,m161218_102239_42200_c101056612550000001823264301061775_s1_p0.2.bax.h5,m161218_102239_42200_c101056612550000001823264301061775_s1_p0.3.bax.h5,m161218_102239_42200_c101056612550000001823264301061775_s1_p0.bas.h5
43,uvrAmutS,7,pacbio_data/00043,m161218_165312_42200_c101056612550000001823264301061776_s1_p0.1.bax.h5,m161218_165312_42200_c101056612550000001823264301061776_s1_p0.2.bax.h5,m161218_165312_42200_c101056612550000001823264301061776_s1_p0.3.bax.h5,m161218_165312_42200_c101056612550000001823264301061776_s1_p0.bas.h5
44,uvrAmutS,8,pacbio_data/00044,m161218_232216_42200_c101056612550000001823264301061777_s1_p0.1.bax.h5,m161218_232216_42200_c101056612550000001823264301061777_s1_p0.2.bax.h5,m161218_232216_42200_c101056612550000001823264301061777_s1_p0.3.bax.h5,m161218_232216_42200_c101056612550000001823264301061777_s1_p0.bas.h5
45,uvrAmutS,9,pacbio_data/00045,m161219_075701_42200_c101109222550000001823266805011750_s1_p0.1.bax.h5,m161219_075701_42200_c101109222550000001823266805011750_s1_p0.2.bax.h5,m161219_075701_42200_c101109222550000001823266805011750_s1_p0.3.bax.h5,m161219_075701_42200_c101109222550000001823266805011750_s1_p0.bas.h5
46,uvrAmutS,10,pacbio_data/00046,m161219_142451_42200_c101109222550000001823266805011751_s1_p0.1.bax.h5,m161219_142451_42200_c101109222550000001823266805011751_s1_p0.2.bax.h5,m161219_142451_42200_c101109222550000001823266805011751_s1_p0.3.bax.h5,m161219_142451_42200_c101109222550000001823266805011751_s1_p0.bas.h5
47,uvrAmutS,11,pacbio_data/00047,m161219_205244_42200_c101109222550000001823266805011752_s1_p0.1.bax.h5,m161219_205244_42200_c101109222550000001823266805011752_s1_p0.2.bax.h5,m161219_205244_42200_c101109222550000001823266805011752_s1_p0.3.bax.h5,m161219_205244_42200_c101109222550000001823266805011752_s1_p0.bas.h5
48,uvrAmutS,12,pacbio_data/00048,m161220_032100_42200_c101109222550000001823266805011753_s1_p0.1.bax.h5,m161220_032100_42200_c101109222550000001823266805011753_s1_p0.2.bax.h5,m161220_032100_42200_c101109222550000001823266805011753_s1_p0.3.bax.h5,m161220_032100_42200_c101109222550000001823266805011753_s1_p0.bas.h5
